Year,Country,Origin,Refugees,Asylum-seekers (pending cases),Returned refugees,Internally displaced persons (IDPs),Returned IDPs,Stateless persons,Others of concern,Total Population,Indicator,2016,2017
2010,"China, Hong Kong SAR",Rwanda,1,2,,,,,,3,Rwanda,,['20']
2010,"China, Hong Kong SAR",Sierra Leone,,1,,,,,,1,Sierra Leone,,[]
2010,"China, Hong Kong SAR",Somalia,40,22,,,,,,62,Somalia,,['21']
2010,"China, Hong Kong SAR",Togo,,13,,,,,,13,Togo,,[]
2010,"China, Hong Kong SAR",Turkmenistan,1,,,,,,,1,Turkmenistan,,[]
2010,"China, Hong Kong SAR",Turkey,,1,,,,,,1,Turkey,,[]
2010,"China, Hong Kong SAR",Uganda,1,10,,,,,,11,Uganda,,[nan]
2010,"China, Hong Kong SAR",United States of America,,1,,,,,,1,United States of America,,[]
2010,"China, Hong Kong SAR",Viet Nam,7,,,,,,,7,Viet Nam,,[nan]
2010,"China, Hong Kong SAR",Yemen,1,1,,,,,,2,Yemen,,['5']
2010,"China, Hong Kong SAR",South Africa,,3,,,,,,3,South Africa,,[]
2010,Honduras,Colombia,2,,,,,,,2,Colombia,,[nan]
2010,Honduras,Cuba,2,,,,,,,2,Cuba,,[]
2010,Honduras,Haiti,6,,,,,,,6,Haiti,,[nan]
2010,Honduras,Iran (Islamic Rep. of),3,,1,,,,,4,Iran (Islamic Rep. of),,[nan]
2010,Honduras,El Salvador,1,,,,,,,1,El Salvador,,['11']
2010,Croatia,Afghanistan,5,16,,,,,,21,Afghanistan,,['45']
2010,Croatia,Armenia,1,,,,,,,1,Armenia,,[nan]
2010,Croatia,Bosnia and Herzegovina,668,3,44,,,,,715,Bosnia and Herzegovina,,['37']
2010,Croatia,Congo,3,,,,,,,3,Congo,,[nan]
2010,Croatia,Algeria,,2,,,,,,2,Algeria,,[nan]
2010,Croatia,Western Sahara,,6,,,,,,6,Western Sahara,,[nan]
2010,Croatia,Georgia,4,,,,,,,4,Georgia,,[nan]
2010,Croatia,Croatia,,,,2125.0,160.0,1749,20383,24417,Croatia,,[nan]
2010,Croatia,Iran (Islamic Rep. of),,3,,,,,,3,Iran (Islamic Rep. of),,['14']
2010,Croatia,Iraq,1,8,,,,,,9,Iraq,,['62']
2010,Croatia,Morocco,,2,,,,,,2,Morocco,,[nan]
2010,Croatia,Rep. of Moldova,2,,,,,,,2,Rep. of Moldova,,[nan]
2010,Croatia,Pakistan,,3,,,,,,3,Pakistan,,[nan]
2010,Croatia,Philippines,,1,,,,,,1,Philippines,,[nan]
2010,Croatia,Palestinian,,14,,,,,,14,Palestinian,,[nan]
2010,Croatia,Russian Federation,5,3,,,,,,8,Russian Federation,,['14']
2010,Croatia,Sudan,2,,,,,,,2,Sudan,,[nan]
2010,Croatia,Senegal,,3,,,,,,3,Senegal,,[nan]
2010,Croatia,Somalia,,1,,,,,,1,Somalia,,['22']
2010,Croatia,Serbia and Kosovo (S/RES/1244 (1999)),240,3,2,,,,,245,Serbia and Kosovo (S/RES/1244 (1999)),,[nan]
2010,Croatia,Syrian Arab Rep.,,4,,,,,,4,Syrian Arab Rep.,,['194']
2010,Croatia,Togo,,1,,,,,,1,Togo,,[]
2010,Croatia,Tunisia,,1,,,,,,1,Tunisia,,[nan]
2010,Croatia,Turkey,1,2,,,,,,3,Turkey,,['16']
2010,Croatia,Ukraine,1,1,,,,,,2,Ukraine,,['5']
2010,Croatia,Uzbekistan,3,,,,,,,3,Uzbekistan,,[nan]
2010,Croatia,Various/Unknown,,3,,,,,,3,Various/Unknown,,[nan]
2010,Croatia,Zimbabwe,,1,,,,,,1,Zimbabwe,,[nan]
2010,Haiti,Cuba,,4,,,,,,4,Cuba,,[nan]
2010,Hungary,Afghanistan,1767,54,,,,,,1821,Afghanistan,,['1412']
2010,Hungary,Angola,17,1,,,,,,18,Angola,,['5']
2010,Hungary,Albania,4,,,,,,,4,Albania,,[nan]
2010,Hungary,Armenia,109,2,,,,,,111,Armenia,,['47']
2010,Hungary,Azerbaijan,5,15,,,,,,20,Azerbaijan,,['16']
2010,Hungary,Burundi,2,,,,,,,2,Burundi,,[]
2010,Hungary,Burkina Faso,1,,,,,,,1,Burkina Faso,,[nan]
2010,Hungary,Bangladesh,,4,,,,,,4,Bangladesh,,['9']
2010,Hungary,Bulgaria,,3,,,,,,3,Bulgaria,,[]
2010,Hungary,Bosnia and Herzegovina,3,1,,,,,,4,Bosnia and Herzegovina,,[nan]
2010,Hungary,Belarus,2,3,,,,,,5,Belarus,,[]
2010,Hungary,Brazil,,2,,,,,,2,Brazil,,[]
2010,Hungary,China,20,26,,,,,,46,China,,['5']
2010,Hungary,C̫te d'Ivoire,18,2,,,,,,20,C̫te d'Ivoire,,['15']
2010,Hungary,Cameroon,46,,,,,,,46,Cameroon,,['35']
2010,Hungary,Dem. Rep. of the Congo,21,,,,,,,21,Dem. Rep. of the Congo,,['21']
2010,Hungary,Congo,14,1,,,,,,15,Congo,,['13']
2010,Hungary,Colombia,1,1,,,,,,2,Colombia,,[nan]
2010,Hungary,Comoros,2,,,,,,,2,Comoros,,[nan]
2010,Hungary,Cuba,61,2,,,,,,63,Cuba,,['80']
2010,Hungary,Algeria,37,,,,,,,37,Algeria,,['15']
2010,Hungary,Ecuador,1,,,,,,,1,Ecuador,,[]
2010,Hungary,Egypt,12,,,,,,,12,Egypt,,['13']
2010,Hungary,Eritrea,2,,,,,,,2,Eritrea,,['48']
2010,Hungary,Western Sahara,,1,,,,,,1,Western Sahara,,[]
2010,Hungary,Ethiopia,45,3,,,,,,48,Ethiopia,,['33']
2010,Hungary,Georgia,92,16,,,,,,108,Georgia,,['62']
2010,Hungary,Ghana,2,,,,,,,2,Ghana,,['7']
2010,Hungary,Guinea,9,,,,,,,9,Guinea,,['5']
2010,Hungary,Guinea-Bissau,1,,,,,,,1,Guinea-Bissau,,[]
2010,Hungary,Guyana,,4,,,,,,4,Guyana,,[]
2010,Hungary,Hungary,,,,,,62,,62,Hungary,,[]
2010,Hungary,India,1,,,,,,,1,India,,[nan]
2010,Hungary,Iran (Islamic Rep. of),164,13,,,,,,177,Iran (Islamic Rep. of),,['142']
2010,Hungary,Iraq,1091,10,,,,,,1101,Iraq,,['598']
2010,Hungary,Israel,,1,,,,,,1,Israel,,[]
2010,Hungary,Jordan,1,,,,,,,1,Jordan,,[nan]
2010,Hungary,Kazakhstan,1,1,,,,,,2,Kazakhstan,,[nan]
2010,Hungary,Kenya,5,3,,,,,,8,Kenya,,[nan]
2010,Hungary,Kuwait,,1,,,,,,1,Kuwait,,[nan]
2010,Hungary,Lebanon,13,5,,,,,,18,Lebanon,,['7']
2010,Hungary,Liberia,17,4,,,,,,21,Liberia,,[nan]
2010,Hungary,Libya,9,,,,,,,9,Libya,,['6']
2010,Hungary,Sri Lanka,18,,,,,,,18,Sri Lanka,,['12']
2010,Hungary,Morocco,2,2,,,,,,4,Morocco,,[nan]
2010,Hungary,Rep. of Moldova,3,5,,,,,,8,Rep. of Moldova,,[nan]
2010,Hungary,Madagascar,1,,,,,,,1,Madagascar,,[]
2010,Hungary,Mexico,,1,,,,,,1,Mexico,,[]
2010,Hungary,The former Yugoslav Republic of Macedonia,5,1,,,,,,6,The former Yugoslav Republic of Macedonia,,[]
2010,Hungary,Myanmar,3,,,,,,,3,Myanmar,,[nan]
2010,Hungary,Mongolia,,2,,,,,,2,Mongolia,,[nan]
2010,Hungary,Mauritania,1,,,,,,,1,Mauritania,,[nan]
2010,Hungary,Nigeria,91,6,,,,,,97,Nigeria,,['54']
2010,Hungary,Nepal,15,2,,,,,,17,Nepal,,['11']
2010,Hungary,Pakistan,66,10,,,,,,76,Pakistan,,['55']
2010,Hungary,Palestinian,128,10,,,,,,138,Palestinian,,['87']
2010,Hungary,Romania,25,1,,,,,,26,Romania,,[]
2010,Hungary,Russian Federation,123,10,,,,,,133,Russian Federation,,['36']
2010,Hungary,Saudi Arabia,1,,,,,,,1,Saudi Arabia,,[nan]
2010,Hungary,Sudan,117,,,,,,,117,Sudan,,['68']
2010,Hungary,Senegal,6,4,,,,,,10,Senegal,,[nan]
2010,Hungary,Sierra Leone,44,8,,,,,,52,Sierra Leone,,[nan]
2010,Hungary,Somalia,421,11,,,,,,432,Somalia,,['651']
2010,Hungary,Serbia and Kosovo (S/RES/1244 (1999)),337,71,,,,,,408,Serbia and Kosovo (S/RES/1244 (1999)),,['56']
2010,Hungary,Swaziland,1,,,,,,,1,Swaziland,,[]
2010,Hungary,Syrian Arab Rep.,39,8,,,,,,47,Syrian Arab Rep.,,['925']
2010,Hungary,Togo,9,,,,,,,9,Togo,,[nan]
2010,Hungary,Tibetan,1,,,,,,,1,Tibetan,,[]
2010,Hungary,Turkmenistan,,1,,,,,,1,Turkmenistan,,[]
2010,Hungary,Tunisia,5,,,,,,,5,Tunisia,,['8']
2010,Hungary,Turkey,74,13,,,,,,87,Turkey,,['34']
2010,Hungary,United Rep. of Tanzania,3,,,,,,,3,United Rep. of Tanzania,,[nan]
2010,Hungary,Uganda,7,1,,,,,,8,Uganda,,['6']
2010,Hungary,Ukraine,44,7,,,,,,51,Ukraine,,['19']
2010,Hungary,United States of America,1,,,,,,,1,United States of America,,[nan]
2010,Hungary,Uzbekistan,10,,,,,,,10,Uzbekistan,,['7']
2010,Hungary,Viet Nam,3,4,,,,,,7,Viet Nam,,[]
2010,Hungary,Stateless,38,,,,,,,38,Stateless,,['76']
2010,Hungary,Various/Unknown,170,4,,,,,,174,Various/Unknown,,['925']
2010,Hungary,Zambia,,6,,,,,,6,Zambia,,[]
2010,Hungary,Zimbabwe,6,,,,,,,6,Zimbabwe,,[nan]
2010,Indonesia,Afghanistan,259,1207,4,,,,,1470,Afghanistan,,['5477']
2010,Indonesia,Albania,,1,,,,,,1,Albania,,[]
2010,Indonesia,Central African Rep.,,2,,,,,,2,Central African Rep.,,[]
2010,Indonesia,China,3,7,,,,,,10,China,,['9']
2010,Indonesia,C̫te d'Ivoire,1,4,,,,,,5,C̫te d'Ivoire,,[nan]
2010,Indonesia,Cameroon,,13,,,,,,13,Cameroon,,[nan]
2010,Indonesia,Dem. Rep. of the Congo,5,3,,,,,,8,Dem. Rep. of the Congo,,[nan]
2010,Indonesia,Congo,,2,,,,,,2,Congo,,[nan]
2010,Indonesia,Algeria,,3,,,,,,3,Algeria,,[nan]
2010,Indonesia,Egypt,2,8,,,,,,10,Egypt,,['14']
2010,Indonesia,Ethiopia,,1,,,,,,1,Ethiopia,,['143']
2010,Indonesia,Ghana,,1,,,,,,1,Ghana,,[nan]
2010,Indonesia,Guinea,,9,,,,,,9,Guinea,,[nan]
2010,Indonesia,Gambia,,2,,,,,,2,Gambia,,[nan]
2010,Indonesia,Iran (Islamic Rep. of),37,85,4,,,,,126,Iran (Islamic Rep. of),,['239']
2010,Indonesia,Iraq,146,398,1,,,,,545,Iraq,,['560']
2010,Indonesia,Kuwait,6,2,,,,,,8,Kuwait,,['11']
2010,Indonesia,Sri Lanka,233,235,3,,,,,471,Sri Lanka,,['389']
2010,Indonesia,Morocco,,3,,,,,,3,Morocco,,[nan]
2010,Indonesia,Myanmar,49,12,,,,,,61,Myanmar,,['766']
2010,Indonesia,Mauritania,,1,,,,,,1,Mauritania,,[]
2010,Indonesia,Nigeria,,2,,,,,,2,Nigeria,,[nan]
2010,Indonesia,Pakistan,4,21,,,,,,25,Pakistan,,['372']
2010,Indonesia,Palestinian,2,,,,,,,2,Palestinian,,['388']
2010,Indonesia,Rwanda,,1,,,,,,1,Rwanda,,[]
2010,Indonesia,Sudan,,1,,,,,,1,Sudan,,['266']
2010,Indonesia,Senegal,,5,,,,,,5,Senegal,,[nan]
2010,Indonesia,Sierra Leone,,1,,,,,,1,Sierra Leone,,[nan]
2010,Indonesia,Somalia,63,38,,,,,,101,Somalia,,['976']
2010,Indonesia,Tunisia,,2,,,,,,2,Tunisia,,[]
2010,Indonesia,Ukraine,1,,,,,,,1,Ukraine,,[nan]
2010,Indonesia,Yemen,,1,,,,,,1,Yemen,,['76']
2010,India,Afghanistan,9094,223,65,,,,,9382,Afghanistan,,['7758']
2010,India,Bosnia and Herzegovina,1,,,,,,,1,Bosnia and Herzegovina,,[nan]
2010,India,China,100003,,,,,,,100003,China,,['108008']
2010,India,C̫te d'Ivoire,2,,,,,,,2,C̫te d'Ivoire,,['5']
2010,India,Dem. Rep. of the Congo,11,3,,,,,,14,Dem. Rep. of the Congo,,['49']
2010,India,Egypt,,1,,,,,,1,Egypt,,[nan]
2010,India,Eritrea,35,9,,,,,,44,Eritrea,,['29']
2010,India,Ethiopia,9,1,,,,,,10,Ethiopia,,['20']
2010,India,Iran (Islamic Rep. of),69,6,1,,,,,76,Iran (Islamic Rep. of),,['57']
2010,India,Iraq,122,3,,,,,,125,Iraq,,['344']
2010,India,Lao People's Dem. Rep.,1,,,,,,,1,Lao People's Dem. Rep.,,[]
2010,India,Sri Lanka,69998,,5043,,,,,75041,Sri Lanka,,['61842']
2010,India,Myanmar,4630,3347,,,,,,7977,Myanmar,,['18089']
2010,India,Pakistan,,65,,,,,,65,Pakistan,,[nan]
2010,India,Palestinian,78,7,,,,,,85,Palestinian,,['75']
2010,India,Rwanda,,3,,,,,,3,Rwanda,,[nan]
2010,India,Sudan,18,1,,,,,,19,Sudan,,['89']
2010,India,Somalia,747,76,,,,,,823,Somalia,,['664']
2010,India,Togo,1,1,,,,,,2,Togo,,[]
2010,India,Yemen,2,,,,,,,2,Yemen,,[nan]
2010,Ireland,Afghanistan,157,181,,,,,,338,Afghanistan,,['230']
2010,Ireland,Angola,355,69,,,,,,424,Angola,,['236']
2010,Ireland,Albania,180,77,,,,,,257,Albania,,['78']
2010,Ireland,Argentina,1,1,,,,,,2,Argentina,,[]
2010,Ireland,Armenia,43,21,,,,,,64,Armenia,,['11']
2010,Ireland,Austria,,1,,,,,,1,Austria,,[]
2010,Ireland,Azerbaijan,26,5,,,,,,31,Azerbaijan,,['15']
2010,Ireland,Burundi,42,32,,,,,,74,Burundi,,['25']
2010,Ireland,Belgium,11,,,,,,,11,Belgium,,[]
2010,Ireland,Benin,3,13,,,,,,16,Benin,,[nan]
2010,Ireland,Burkina Faso,1,3,,,,,,4,Burkina Faso,,[nan]
2010,Ireland,Bangladesh,23,96,,,,,,119,Bangladesh,,['30']
2010,Ireland,Bulgaria,44,,,,,,,44,Bulgaria,,[]
2010,Ireland,Bahrain,,5,,,,,,5,Bahrain,,[nan]
2010,Ireland,Bahamas,,1,,,,,,1,Bahamas,,[]
2010,Ireland,Bosnia and Herzegovina,13,3,1,,,,,17,Bosnia and Herzegovina,,['14']
2010,Ireland,Belarus,60,24,,,,,,84,Belarus,,['43']
2010,Ireland,Bolivia (Plurinational State of),,10,,,,,,10,Bolivia (Plurinational State of),,['7']
2010,Ireland,Brazil,4,10,,,,,,14,Brazil,,[nan]
2010,Ireland,Bhutan,12,55,,,,,,67,Bhutan,,['10']
2010,Ireland,Botswana,,6,,,,,,6,Botswana,,[nan]
2010,Ireland,Central African Rep.,9,1,,,,,,10,Central African Rep.,,['9']
2010,Ireland,Switzerland,5,,,,,,,5,Switzerland,,[]
2010,Ireland,Chile,,1,,,,,,1,Chile,,[]
2010,Ireland,China,100,94,,,,,,194,China,,['54']
2010,Ireland,C̫te d'Ivoire,63,39,,,,,,102,C̫te d'Ivoire,,['19']
2010,Ireland,Cameroon,171,125,,,,,,296,Cameroon,,['85']
2010,Ireland,Dem. Rep. of the Congo,511,363,,,,,,874,Dem. Rep. of the Congo,,['396']
2010,Ireland,Congo,47,60,,,,,,107,Congo,,['186']
2010,Ireland,Colombia,1,,,,,,,1,Colombia,,[]
2010,Ireland,Comoros,,1,,,,,,1,Comoros,,[]
2010,Ireland,Cabo Verde,,3,,,,,,3,Cabo Verde,,[]
2010,Ireland,Cuba,7,2,,,,,,9,Cuba,,['22']
2010,Ireland,Czech Rep.,120,,,,,,,120,Czech Rep.,,[]
2010,Ireland,Algeria,164,109,,,,,,273,Algeria,,['189']
2010,Ireland,Egypt,28,20,,,,,,48,Egypt,,['29']
2010,Ireland,Eritrea,121,43,,,,,,164,Eritrea,,['48']
2010,Ireland,Estonia,12,,,,,,,12,Estonia,,[]
2010,Ireland,Ethiopia,64,31,,,,,,95,Ethiopia,,['42']
2010,Ireland,Fiji,,1,,,,,,1,Fiji,,[]
2010,Ireland,United Kingdom,8,,,,,,,8,United Kingdom,,[]
2010,Ireland,Georgia,172,199,,,,,,371,Georgia,,['70']
2010,Ireland,Ghana,59,197,,,,,,256,Ghana,,['26']
2010,Ireland,Guinea,65,43,,,,,,108,Guinea,,['17']
2010,Ireland,Gambia,7,10,,,,,,17,Gambia,,[nan]
2010,Ireland,Guinea-Bissau,3,3,,,,,,6,Guinea-Bissau,,[]
2010,Ireland,Equatorial Guinea,,2,,,,,,2,Equatorial Guinea,,[nan]
2010,Ireland,Guatemala,2,,,,,,,2,Guatemala,,[nan]
2010,Ireland,Guyana,,5,,,,,,5,Guyana,,[nan]
2010,Ireland,Croatia,317,15,,,,,,332,Croatia,,[]
2010,Ireland,Haiti,,1,,,,,,1,Haiti,,[]
2010,Ireland,Hungary,4,,,,,,,4,Hungary,,[]
2010,Ireland,Indonesia,1,,,,,,,1,Indonesia,,[nan]
2010,Ireland,India,4,31,,,,,,35,India,,[nan]
2010,Ireland,Iran (Islamic Rep. of),205,109,,,,,,314,Iran (Islamic Rep. of),,['135']
2010,Ireland,Iraq,650,123,,,,,,773,Iraq,,['491']
2010,Ireland,Israel,29,39,,,,,,68,Israel,,[nan]
2010,Ireland,Jamaica,9,2,,,,,,11,Jamaica,,[nan]
2010,Ireland,Jordan,5,4,,,,,,9,Jordan,,['7']
2010,Ireland,Japan,2,,,,,,,2,Japan,,[nan]
2010,Ireland,Kazakhstan,74,5,,,,,,79,Kazakhstan,,['35']
2010,Ireland,Kenya,105,72,,,,,,177,Kenya,,['56']
2010,Ireland,Kyrgyzstan,18,7,,,,,,25,Kyrgyzstan,,[nan]
2010,Ireland,Cambodia,14,,,,,,,14,Cambodia,,[]
2010,Ireland,Rep. of Korea,,1,,,,,,1,Rep. of Korea,,[nan]
2010,Ireland,Kuwait,60,19,,,,,,79,Kuwait,,['46']
2010,Ireland,Lebanon,21,17,,,,,,38,Lebanon,,['13']
2010,Ireland,Liberia,42,62,,,,,,104,Liberia,,['23']
2010,Ireland,Libya,67,12,,,,,,79,Libya,,['255']
2010,Ireland,Sri Lanka,30,19,,,,,,49,Sri Lanka,,['20']
2010,Ireland,Lesotho,2,2,,,,,,4,Lesotho,,[nan]
2010,Ireland,Lithuania,22,,,,,,,22,Lithuania,,[]
2010,Ireland,Latvia,23,,,,,,,23,Latvia,,[]
2010,Ireland,Morocco,9,12,,,,,,21,Morocco,,['8']
2010,Ireland,Rep. of Moldova,232,89,,,,,,321,Rep. of Moldova,,['105']
2010,Ireland,The former Yugoslav Republic of Macedonia,15,2,,,,,,17,The former Yugoslav Republic of Macedonia,,[nan]
2010,Ireland,Mali,,1,,,,,,1,Mali,,['8']
2010,Ireland,Myanmar,8,11,,,,,,19,Myanmar,,['9']
2010,Ireland,Mongolia,2,14,,,,,,16,Mongolia,,[nan]
2010,Ireland,Mozambique,7,1,,,,,,8,Mozambique,,['6']
2010,Ireland,Mauritania,4,2,,,,,,6,Mauritania,,[nan]
2010,Ireland,Mauritius,1,27,,,,,,28,Mauritius,,['7']
2010,Ireland,Malawi,6,46,,,,,,52,Malawi,,['51']
2010,Ireland,Malaysia,1,3,,,,,,4,Malaysia,,[nan]
2010,Ireland,Niger,8,16,,,,,,24,Niger,,[nan]
2010,Ireland,Nigeria,777,924,,,,,,1701,Nigeria,,['421']
2010,Ireland,Nicaragua,1,,,,,,,1,Nicaragua,,[]
2010,Ireland,Nepal,4,24,,,,,,28,Nepal,,[nan]
2010,Ireland,Pakistan,225,398,,,,,,623,Pakistan,,['172']
2010,Ireland,Peru,,1,,,,,,1,Peru,,[]
2010,Ireland,Philippines,3,2,,,,,,5,Philippines,,[nan]
2010,Ireland,Poland,52,,,,,,,52,Poland,,[]
2010,Ireland,Dem. People's Rep. of Korea,6,,,,,,,6,Dem. People's Rep. of Korea,,[nan]
2010,Ireland,Palestinian,120,30,,,,,,150,Palestinian,,['94']
2010,Ireland,Romania,368,1,,,,,,369,Romania,,[]
2010,Ireland,Russian Federation,267,51,,,,,,318,Russian Federation,,['159']
2010,Ireland,Rwanda,81,19,,,,,,100,Rwanda,,['66']
2010,Ireland,Saudi Arabia,1,,,,,,,1,Saudi Arabia,,['10']
2010,Ireland,Sudan,445,194,,,,,,639,Sudan,,['188']
2010,Ireland,Sierra Leone,86,48,,,,,,134,Sierra Leone,,['53']
2010,Ireland,Somalia,589,206,,,,,,795,Somalia,,['480']
2010,Ireland,Serbia and Kosovo (S/RES/1244 (1999)),313,48,,,,,,361,Serbia and Kosovo (S/RES/1244 (1999)),,['200']
2010,Ireland,Slovakia,28,,,,,,,28,Slovakia,,[]
2010,Ireland,Swaziland,1,6,,,,,,7,Swaziland,,['15']
2010,Ireland,Syrian Arab Rep.,34,10,,,,,,44,Syrian Arab Rep.,,['718']
2010,Ireland,Chad,12,5,,,,,,17,Chad,,[nan]
2010,Ireland,Togo,94,45,,,,,,139,Togo,,['37']
2010,Ireland,Thailand,2,1,,,,,,3,Thailand,,[nan]
2010,Ireland,Tajikistan,7,1,,,,,,8,Tajikistan,,['12']
2010,Ireland,Turkmenistan,1,,,,,,,1,Turkmenistan,,[]
2010,Ireland,Tunisia,1,,,,,,,1,Tunisia,,[nan]
2010,Ireland,Turkey,20,7,,,,,,27,Turkey,,['14']
2010,Ireland,United Rep. of Tanzania,9,3,,,,,,12,United Rep. of Tanzania,,['9']
2010,Ireland,Uganda,87,68,,,,,,155,Uganda,,['42']
2010,Ireland,Ukraine,187,32,,,,,,219,Ukraine,,['110']
2010,Ireland,United States of America,,2,,,,,,2,United States of America,,[nan]
2010,Ireland,Uzbekistan,39,2,,,,,,41,Uzbekistan,,['24']
2010,Ireland,Venezuela (Bolivarian Republic of),2,3,,,,,,5,Venezuela (Bolivarian Republic of),,['11']
2010,Ireland,Viet Nam,3,8,,,,,,11,Viet Nam,,['7']
2010,Ireland,Stateless,19,,,,,,,19,Stateless,,['7']
2010,Ireland,Various/Unknown,40,,,,,,,40,Various/Unknown,,[nan]
2010,Ireland,Yemen,3,10,,,,,,13,Yemen,,[nan]
2010,Ireland,South Africa,49,56,,,,,,105,South Africa,,['51']
2010,Ireland,Zambia,5,2,,,,,,7,Zambia,,[nan]
2010,Ireland,Zimbabwe,415,193,,,,,,608,Zimbabwe,,['252']
2010,Iran (Islamic Rep. of),Afghanistan,1027577,1639,8487,,,,,1037703,Afghanistan,,['951142']
2010,Iran (Islamic Rep. of),Bangladesh,,2,,,,,,2,Bangladesh,,[]
2010,Iran (Islamic Rep. of),China,,1,,,,,,1,China,,[]
2010,Iran (Islamic Rep. of),Ethiopia,1,,,,,,,1,Ethiopia,,[]
2010,Iran (Islamic Rep. of),Iraq,45708,97,1662,,,,,47467,Iraq,,['28268']
2010,Iran (Islamic Rep. of),Kyrgyzstan,,1,,,,,,1,Kyrgyzstan,,[]
2010,Iran (Islamic Rep. of),Kuwait,8,,,,,,,8,Kuwait,,['8']
2010,Iran (Islamic Rep. of),Sri Lanka,,1,,,,,,1,Sri Lanka,,[]
2010,Iran (Islamic Rep. of),Pakistan,13,25,,,,,,38,Pakistan,,['10']
2010,Iran (Islamic Rep. of),Syrian Arab Rep.,,1,,,,,,1,Syrian Arab Rep.,,[]
2010,Iran (Islamic Rep. of),Tajikistan,2,2,,,,,,4,Tajikistan,,[]
2010,Iran (Islamic Rep. of),Turkey,,,19,,,,,19,Turkey,,[]
2010,Iran (Islamic Rep. of),Uzbekistan,57,6,,,,,,63,Uzbekistan,,['7']
2010,Iraq,Afghanistan,2,,,,,,,2,Afghanistan,,['11']
2010,Iraq,Algeria,,1,,,,,,1,Algeria,,[nan]
2010,Iraq,Ethiopia,1,,,,,,,1,Ethiopia,,[nan]
2010,Iraq,Iran (Islamic Rep. of),7989,1678,16,,,,,9683,Iran (Islamic Rep. of),,['7143']
2010,Iraq,Iraq,,,,1343568.0,294770.0,120000,,1758338,Iraq,,[nan]
2010,Iraq,Palestinian,10798,,13,,,,,10811,Palestinian,,['7865']
2010,Iraq,Saudi Arabia,1,,,,,,,1,Saudi Arabia,,[nan]
2010,Iraq,Sudan,2,,,,,,,2,Sudan,,['64']
2010,Iraq,Somalia,2,,,,,,,2,Somalia,,[nan]
2010,Iraq,Syrian Arab Rep.,254,968,,,,,,1222,Syrian Arab Rep.,,['247057']
2010,Iraq,Turkey,15606,421,236,,,,,16263,Turkey,,['15514']
2010,Iraq,Uganda,,2,,,,,,2,Uganda,,[]
2010,Iraq,Yemen,,3,,,,,,3,Yemen,,[nan]
2010,Iceland,Afghanistan,6,1,,,,,,7,Afghanistan,,['44']
2010,Iceland,Albania,12,,,,,,,12,Albania,,['6']
2010,Iceland,Armenia,4,,,,,,,4,Armenia,,[nan]
2010,Iceland,China,2,,,,,,,2,China,,[nan]
2010,Iceland,Dem. Rep. of the Congo,1,,,,,,,1,Dem. Rep. of the Congo,,[nan]
2010,Iceland,Colombia,6,,,,,,,6,Colombia,,[nan]
2010,Iceland,Eritrea,5,,,,,,,5,Eritrea,,['11']
2010,Iceland,Spain,,3,,,,,,3,Spain,,[]
2010,Iceland,Ethiopia,,1,,,,,,1,Ethiopia,,[nan]
2010,Iceland,Gabon,,1,,,,,,1,Gabon,,[]
2010,Iceland,Georgia,1,,,,,,,1,Georgia,,[nan]
2010,Iceland,Croatia,,2,,,,,,2,Croatia,,[]
2010,Iceland,India,,1,,,,,,1,India,,[nan]
2010,Iceland,Iran (Islamic Rep. of),8,5,,,,,,13,Iran (Islamic Rep. of),,['33']
2010,Iceland,Iraq,4,4,,,,,,8,Iraq,,['70']
2010,Iceland,Iceland,,,,,,113,,113,Iceland,,[]
2010,Iceland,Kenya,4,,,,,,,4,Kenya,,[nan]
2010,Iceland,Libya,1,1,,,,,,2,Libya,,[nan]
2010,Iceland,Sri Lanka,5,,,,,,,5,Sri Lanka,,['5']
2010,Iceland,Morocco,1,,,,,,,1,Morocco,,[nan]
2010,Iceland,Rep. of Moldova,,3,,,,,,3,Rep. of Moldova,,[nan]
2010,Iceland,The former Yugoslav Republic of Macedonia,,4,,,,,,4,The former Yugoslav Republic of Macedonia,,[nan]
2010,Iceland,Myanmar,1,,,,,,,1,Myanmar,,[nan]
2010,Iceland,Mauritania,2,1,,,,,,3,Mauritania,,[nan]
2010,Iceland,Nigeria,,1,,,,,,1,Nigeria,,['6']
2010,Iceland,Nepal,,2,,,,,,2,Nepal,,[nan]
2010,Iceland,Romania,1,,,,,,,1,Romania,,[]
2010,Iceland,Russian Federation,5,,,,,,,5,Russian Federation,,['11']
2010,Iceland,Senegal,2,1,,,,,,3,Senegal,,[nan]
2010,Iceland,Sierra Leone,1,1,,,,,,2,Sierra Leone,,[]
2010,Iceland,Somalia,,5,,,,,,5,Somalia,,['13']
2010,Iceland,Serbia and Kosovo (S/RES/1244 (1999)),3,,,,,,,3,Serbia and Kosovo (S/RES/1244 (1999)),,[nan]
2010,Iceland,Slovakia,4,,,,,,,4,Slovakia,,[]
2010,Iceland,Syrian Arab Rep.,1,2,,,,,,3,Syrian Arab Rep.,,['58']
2010,Iceland,Ukraine,1,,,,,,,1,Ukraine,,['15']
2010,Iceland,Uzbekistan,2,,,,,,,2,Uzbekistan,,[nan]
2010,Israel,Armenia,1,,,,,,,1,Armenia,,[nan]
2010,Israel,Benin,,6,,,,,,6,Benin,,[nan]
2010,Israel,Burkina Faso,,22,,,,,,22,Burkina Faso,,[nan]
